level_0,index,ran_lat,ran_lng,Name,Country Code,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),lat,lng
67,83,-85.64964750350197,99.33479127530228,albany,au,44.6,93.0,75.0,9.17,-35.02,117.89
68,86,-78.53029770288339,-5.429306799707064,hermanus,za,57.0,91.0,100.0,3.0,-34.42,19.23
71,89,20.029966140603904,55.767457814421164,nizwa,om,78.17,27.0,0.0,2.64,22.93,57.53
72,90,66.63266586622612,-179.25840220399348,egvekinot,ru,33.64,87.0,96.0,20.98,66.32,-179.17
73,91,69.04826369530008,-5.732558866186082,klaksvik,fo,50.0,93.0,96.0,19.46,62.23,-6.59
74,92,81.77750697528691,-108.2410024441691,yellowknife,ca,48.99,81.0,40.0,10.29,62.46,-114.35
75,93,43.17548756462534,-30.53003059866961,lagoa,pt,69.24,82.0,99.0,17.05,39.05,-27.98
76,95,-11.757902204375057,9.365387324224542,benguela,ao,70.99,83.0,83.0,3.67,-12.58,13.41
77,96,69.4619091986172,66.40510742870356,kharp,ru,35.49,84.0,96.0,8.72,66.8,65.81
78,98,-10.203714948782874,136.757316024727,nhulunbuy,au,82.4,58.0,90.0,21.92,-12.23,136.77
79,99,21.048655647761123,27.824649778794765,marawi,sd,92.34,24.0,47.0,10.18,18.48,31.82
80,100,-71.39654804193219,-111.24342893929112,punta arenas,cl,41.0,56.0,40.0,17.22,-53.15,-70.92
81,101,-1.780261007568754,99.97651071942204,padang,id,76.33,75.0,100.0,4.85,-0.95,100.35
82,103,-33.90705552435286,123.4423860429867,esperance,au,48.2,100.0,90.0,10.29,-33.87,121.9
83,104,45.36714354588452,143.22074797510845,novikovo,ru,60.71,39.0,100.0,12.19,51.15,37.89
84,105,38.789835575051654,54.39474929180335,gumdag,tm,59.88,31.0,1.0,14.65,39.21,54.59
85,107,49.841166007578494,-58.27128938568326,corner brook,ca,62.6,82.0,75.0,2.24,48.97,-57.95
86,109,72.8948125139851,-51.186499208257885,ilulissat,gl,37.4,64.0,63.0,11.41,69.22,-51.1
87,110,9.40754646205265,-139.35281569029692,hilo,us,82.4,69.0,90.0,10.29,19.73,-155.09
88,111,62.08161976383411,9.579181266038773,dale,no,55.4,66.0,0.0,9.17,60.59,5.82
89,112,76.04810707914729,-66.56272833686147,narsaq,gl,35.6,93.0,75.0,8.03,60.92,-46.05
90,113,59.21303020904554,-59.86189885989435,saint-augustin,ca,52.2,94.0,15.0,3.11,51.23,-58.65
91,114,-19.04436036724927,172.07649492960957,isangel,vu,73.4,88.0,75.0,7.36,-19.55,169.27
92,115,17.673864584782805,-128.28650652080037,guerrero negro,mx,90.34,28.0,0.0,13.31,27.98,-114.06
93,116,-12.11434567855197,15.602861245560234,huambo,ao,63.14,83.0,79.0,3.22,-12.78,15.74
94,117,34.94648443445115,43.69029049944214,bayji,iq,78.04,28.0,18.0,6.53,34.93,43.49
95,118,-2.7564318713472318,113.23468513104217,sampit,id,76.15,90.0,99.0,2.59,-2.53,112.95
96,120,25.986689390486447,101.99413280529768,panzhihua,cn,69.8,80.0,80.0,1.12,26.59,101.71
98,122,44.09228259580132,88.40157203376913,urumqi,cn,44.6,45.0,82.0,4.47,43.8,87.6
99,125,-29.791981520472184,-93.89414336434672,lebu,cl,46.35,76.0,81.0,10.25,-37.62,-73.65
100,127,36.175624097994785,31.804563876525748,alanya,tr,66.2,82.0,0.0,4.7,36.54,32.0
101,128,-15.53660374799945,-80.7512446111815,pisco,pe,64.4,82.0,1.0,19.46,-13.7,-76.22
103,132,72.98117717642523,93.82774855600076,talnakh,ru,30.2,92.0,100.0,17.9,69.49,88.4
104,134,15.145349528445621,87.71112717563852,palasa,in,78.51,84.0,100.0,2.8,18.77,84.42
105,138,56.673339525111174,82.59041933450555,bakchar,ru,43.99,96.0,94.0,8.81,57.02,82.07
106,139,17.338856431835822,-18.665493445558837,saint-louis,sn,95.0,36.0,0.0,13.62,16.33,-15.0
107,142,-2.35688827822446,106.82533955902483,manggar,id,80.49,85.0,100.0,11.95,-2.88,108.27
108,143,-5.725096907413473,-112.95541357331302,puerto ayora,ec,66.99,92.0,87.0,11.99,-0.74,-90.35
109,146,1.5121677863531602,86.89682102980697,hambantota,lk,77.0,100.0,20.0,6.93,6.12,81.12
110,148,-51.3903923375554,-89.39929199265264,castro,cl,50.0,37.0,3.0,9.17,-42.47,-73.77
112,151,-26.0797553278624,3.87465908429661,walvis bay,na,53.01,81.0,0.0,1.12,-22.96,14.51
113,152,58.821313000034365,178.91561404624883,beringovskiy,ru,40.12,89.0,100.0,28.99,63.05,179.32
114,160,81.41094950011131,153.25533166110273,chokurdakh,ru,26.53,95.0,64.0,7.63,70.63,147.92
115,161,-60.10736876199057,48.41805330364559,east london,za,60.58,83.0,100.0,22.73,-33.02,27.91
116,162,-23.52864473225037,-53.47356081995275,umuarama,br,85.51,33.0,1.0,3.62,-23.77,-53.33
117,165,-8.286819369501217,112.47101071263052,kepanjen,id,73.04,87.0,87.0,2.68,-8.13,112.57
118,166,69.7123064988906,161.1493743315939,cherskiy,ru,33.78,82.0,86.0,7.94,68.75,161.3
119,167,-32.507089148585266,36.467979306968545,richards bay,za,62.92,78.0,95.0,4.43,-28.78,32.04
121,170,-2.5172056692231735,90.6484390219253,meulaboh,id,75.79,80.0,99.0,3.38,4.14,96.13
122,171,-32.16751408187763,-161.64686902121693,avarua,ck,78.8,74.0,87.0,6.93,-21.21,-159.78
124,176,-9.528997770465594,158.02835029975597,gizo,sb,83.41,70.0,61.0,9.75,-8.1,156.84
125,177,37.831463963470114,105.8803568154193,yinchuan,cn,53.92,37.0,35.0,5.61,38.47,106.27
126,178,22.69283897340759,-124.01526423396484,san quintin,mx,84.16,36.0,0.0,10.94,30.48,-115.95
129,181,29.154823359450447,108.00280261644701,longhua,cn,74.17,88.0,67.0,0.92,23.61,114.19
130,185,53.11361429992144,11.06874220002112,dannenberg,de,57.0,88.0,54.0,8.01,53.1,11.09
131,187,0.4385659757681424,116.867809912891,bontang,id,77.94,85.0,91.0,4.34,0.13,117.5
132,190,18.190699403793815,-30.6611261022704,ponta do sol,cv,80.6,74.0,20.0,33.33,17.2,-25.09
133,192,58.784112242206476,90.42702871541485,yeniseysk,ru,36.57,94.0,100.0,7.63,58.45,92.17
134,193,-30.11370687134673,130.53199043830017,flinders,au,71.01,55.0,0.0,5.99,-34.58,150.86
135,194,8.405493590986751,156.01216482866874,kavieng,pg,83.48,66.0,83.0,6.91,-2.57,150.8
136,195,59.52790883562088,155.79566448560223,omsukchan,ru,38.75,71.0,0.0,2.21,62.53,155.8
137,200,88.07461986338254,113.89045376188568,saskylakh,ru,24.69,96.0,36.0,13.91,71.92,114.08
138,203,-1.1353063448890595,47.52386856693889,mogadishu,so,77.67,83.0,5.0,12.64,2.04,45.34
139,204,-5.649019537034761,-66.93606616094706,carauari,br,82.26,60.0,80.0,1.01,-4.88,-66.9
141,207,71.77267644509794,10.086001668536966,sorland,no,52.81,78.0,5.0,16.53,67.67,12.69
144,210,34.66375154737649,-105.06243697979946,las vegas,us,98.6,4.0,1.0,5.82,36.17,-115.14
145,214,-31.177853095539163,-64.2383087230407,cordoba,ar,64.0,23.0,4.0,19.46,-31.41,-64.18
146,215,-25.957003263751375,13.593928017875186,luderitz,na,55.09,83.0,0.0,5.14,-26.65,15.16
147,216,-3.7103021834769265,-152.8225234879693,faanui,pf,78.69,77.0,27.0,18.88,-16.48,-151.75
148,217,28.616062464519075,67.21833598400877,bhag,pk,82.62,15.0,0.0,4.99,29.04,67.82
149,221,27.388752705532795,-105.14247096686555,camargo,mx,80.8,18.0,0.0,7.11,27.67,-105.17
150,222,13.888146497239475,-113.4499501655015,cabo san lucas,mx,91.99,49.0,5.0,13.87,22.89,-109.91
151,223,32.724384554734755,-55.64127166160618,saint george,bm,79.0,83.0,40.0,11.41,32.38,-64.68
152,226,-82.9846486953433,125.98275691153765,new norfolk,au,63.0,92.0,85.0,5.01,-42.78,147.06
153,228,67.96981756094263,156.48967774353736,srednekolymsk,ru,31.82,93.0,0.0,6.67,67.45,153.68
154,229,7.048293459031399,47.72470845823159,garowe,so,74.7,79.0,10.0,13.91,8.41,48.48
155,230,4.588790970063229,53.42269332399184,eyl,so,78.15,81.0,77.0,10.6,7.98,49.82
156,231,7.96072962759925,123.85938066389042,pualas,ph,79.3,82.0,55.0,1.43,8.02,123.85
157,232,2.9554160002888636,69.9959250855184,kudahuvadhoo,mv,81.52,77.0,100.0,11.18,2.67,72.89
158,234,-16.165008258028863,-58.7418149761732,san matias,bo,85.17,43.0,89.0,3.31,-16.37,-58.4
159,235,57.513925242848984,58.452148066618804,shamary,ru,48.61,96.0,77.0,5.73,57.34,58.22
160,236,59.799060785333126,150.1371762130371,arman,ru,47.8,61.0,21.0,2.84,59.7,150.17
161,239,49.55477024023915,-56.86447398610919,deer lake,ca,60.8,82.0,75.0,2.24,49.17,-57.43
162,242,14.606985281239702,-10.513730563247975,bafoulabe,ml,78.33,86.0,15.0,4.92,13.81,-10.83
163,246,71.42775602490164,126.3302330523768,tiksi,ru,26.76,94.0,98.0,26.33,71.69,128.87
164,247,10.340736088394095,-98.19977767198412,puerto escondido,mx,86.0,66.0,75.0,4.76,15.85,-97.07
165,249,13.077787958640016,48.53018832191,bosaso,so,82.94,63.0,0.0,0.76,11.28,49.18
166,250,36.54194044778747,-85.05503577339974,cookeville,us,59.0,54.0,20.0,5.66,36.16,-85.5
167,251,38.65600258642647,-39.606573909705844,ribeira grande,pt,69.22,81.0,88.0,19.62,38.52,-28.7
171,257,88.54168184784672,-74.56296168860393,qaanaaq,gl,16.61,82.0,0.0,3.6,77.48,-69.36
172,259,-16.66286376148051,65.50428933203989,quatre cocos,mu,68.0,88.0,20.0,5.82,-20.21,57.76
173,260,-11.382410547384694,-74.88039923285557,satipo,pe,81.14,50.0,72.0,2.35,-11.25,-74.64
174,261,22.241768321808536,92.31611350968512,bandarban,bd,74.34,96.0,44.0,2.19,22.2,92.23
175,264,-60.40491111502882,78.42570824020146,souillac,mu,66.2,88.0,20.0,5.82,-20.52,57.52
177,268,5.689361515871752,-31.92491499806067,touros,br,77.0,83.0,44.0,9.17,-5.2,-35.46
178,269,30.144777245148163,-131.29540014086086,pacific grove,us,93.99,61.0,0.0,3.0,36.62,-121.92
179,273,-10.107238538906955,-40.928437913235086,laje,br,75.4,36.0,35.0,7.85,-10.18,-40.97
180,276,52.79660941652199,140.4719022570713,nikolayevsk-na-amure,ru,48.7,77.0,100.0,4.63,53.14,140.73
181,280,55.96242284633047,-77.43075170861513,moose factory,ca,39.2,60.0,90.0,8.05,51.26,-80.61
